Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
3/01/2000,2.741411,2.741411,2.726593,2.741411,1.369745,7949,0.00%,
4/01/2000,2.726593,2.741411,2.726593,2.741411,1.369745,3178,0.00%,
5/01/2000,2.726593,2.741411,2.726593,2.741411,1.369745,3974,0.00%,
6/01/2000,2.741411,2.741411,2.741411,2.741411,1.369745,0,0.00%,
7/01/2000,2.726593,2.741411,2.726593,2.741411,1.369745,2652,0.00%,
10/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,6755,-0.54%,
11/01/2000,2.711774,2.726593,2.711774,2.726593,1.362341,3441,0.00%,
12/01/2000,2.711774,2.726593,2.711774,2.726593,1.362341,2436,0.00%,
13/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,10068,0.00%,
14/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,4028,0.00%,
17/01/2000,2.726593,2.726593,2.711774,2.711774,1.354937,21594,-0.54%,
18/01/2000,2.682137,2.711774,2.682137,2.711774,1.354937,2699,0.00%,
19/01/2000,2.682137,2.682137,2.682137,2.682137,1.340129,7153,-1.09%,
20/01/2000,2.682137,2.682137,2.682137,2.682137,1.340129,11074,0.00%,
21/01/2000,2.696956,2.696956,2.637682,2.637682,1.317917,26494,-1.66%,
24/01/2000,2.711774,2.711774,2.711774,2.711774,1.354937,18834,2.81%,
25/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,9137,0.55%,
26/01/2000,2.711774,2.726593,2.711774,2.726593,1.362341,661,0.00%,
27/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,5297,0.00%,
28/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,0,0.00%,
31/01/2000,2.726593,2.726593,2.726593,2.726593,1.362341,4501,0.00%,
1/02/2000,2.756229,2.756229,2.756229,2.756229,1.377149,50923,1.09%,
2/02/2000,2.741411,2.741411,2.741411,2.741411,1.369745,5324,-0.54%,
3/02/2000,2.726593,2.741411,2.726593,2.741411,1.369745,3340,0.00%,
4/02/2000,2.726593,2.741411,2.726593,2.741411,1.369745,3974,0.00%,
7/02/2000,2.726593,2.741411,2.726593,2.741411,1.369745,2652,0.00%,
8/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,9272,-1.08%,
9/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,7949,0.00%,
10/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,2118,0.00%,
11/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,2915,0.00%,
14/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,6620,0.00%,
15/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,3974,0.00%,
16/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,4609,0.00%,
17/02/2000,2.726593,2.726593,2.711774,2.711774,1.354937,2915,0.00%,
18/02/2000,2.711774,2.711774,2.711774,2.711774,1.354937,3974,0.00%,
21/02/2000,2.696956,2.696956,2.696956,2.696956,1.347533,21938,-0.55%,
22/02/2000,2.696956,2.696956,2.696956,2.696956,1.347533,0,0.00%,
23/02/2000,2.711774,2.711774,2.696956,2.696956,1.347533,5297,0.00%,
24/02/2000,2.711774,2.711774,2.696956,2.696956,1.347533,1457,0.00%,
25/02/2000,2.726593,2.726593,2.726593,2.726593,1.362341,6201,1.10%,
28/02/2000,2.756229,2.756229,2.756229,2.756229,1.377149,20663,1.09%,
29/02/2000,2.726593,2.756229,2.726593,2.756229,1.377149,3657,0.00%,
1/03/2000,2.726593,2.756229,2.726593,2.756229,1.377149,2280,0.00%,
2/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,2652,0.00%,
3/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,2652,0.00%,
6/03/2000,2.741411,2.756229,2.726593,2.756229,1.377149,5034,0.00%,
7/03/2000,2.741411,2.756229,2.741411,2.756229,1.377149,3313,0.00%,
8/03/2000,2.741411,2.756229,2.741411,2.756229,1.377149,2652,0.00%,
9/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,8745,0.00%,
10/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,3205,0.00%,
13/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,0,0.00%,
14/03/2000,2.741411,2.756229,2.741411,2.756229,1.377149,35368,0.00%,
15/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,9090,0.00%,
16/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,8793,0.00%,
17/03/2000,2.756229,2.756229,2.741411,2.756229,1.377149,6093,0.00%,
20/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,15656,0.00%,
21/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,2652,0.00%,
22/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,137794,0.00%,
23/03/2000,2.785866,2.785866,2.756229,2.756229,1.377149,1511,0.00%,
24/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,0,0.00%,
27/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,7153,0.00%,
28/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,796,0.00%,
29/03/2000,2.756229,2.756229,2.756229,2.756229,1.377149,7949,0.00%,
30/03/2000,2.741411,2.756229,2.741411,2.756229,1.377149,2307,0.00%,
31/03/2000,2.756229,2.756229,2.711774,2.756229,1.377149,4953,0.00%,
3/04/2000,2.741411,2.756229,2.741411,2.756229,1.377149,533,0.00%,
4/04/2000,2.756229,2.756229,2.741411,2.756229,1.377149,3070,0.00%,
5/04/2000,2.756229,2.756229,2.756229,2.756229,1.377149,7180,0.00%,
6/04/2000,2.711774,2.756229,2.711774,2.756229,1.377149,8664,0.00%,
7/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,5803,-1.61%,
10/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,2571,0.00%,
11/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,1639,0.00%,
12/04/2000,2.741411,2.741411,2.711774,2.711774,1.354937,1322,0.00%,
13/04/2000,2.741411,2.741411,2.711774,2.711774,1.354937,2652,0.00%,
14/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,3232,0.00%,
17/04/2000,2.682137,2.696956,2.682137,2.696956,1.347533,8691,-0.55%,
18/04/2000,2.696956,2.696956,2.696956,2.696956,1.347533,0,0.00%,
19/04/2000,2.756229,2.756229,2.726593,2.726593,1.362341,5459,1.10%,
20/04/2000,2.756229,2.756229,2.726593,2.726593,1.362341,3043,0.00%,
21/04/2000,2.726593,2.726593,2.726593,2.726593,1.362341,0,0.00%,
24/04/2000,2.726593,2.726593,2.726593,2.726593,1.362341,0,0.00%,
25/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,5830,-0.54%,
26/04/2000,2.756229,2.756229,2.711774,2.711774,1.354937,796,0.00%,
27/04/2000,2.711774,2.711774,2.711774,2.711774,1.354937,0,0.00%,
28/04/2000,2.756229,2.756229,2.711774,2.711774,1.354937,1511,0.00%,
1/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,0,0.00%,
2/05/2000,2.726593,2.726593,2.711774,2.711774,1.354937,742,0.00%,
3/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,5297,0.00%,
4/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,5297,1.64%,
5/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,2652,0.00%,
8/05/2000,2.741411,2.756229,2.741411,2.756229,1.377149,3974,0.00%,
9/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,0,0.00%,
10/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,0,0.00%,
11/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,6944,-1.61%,
12/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,0,0.00%,
15/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,1963,0.00%,
16/05/2000,2.726593,2.726593,2.711774,2.711774,1.354937,263,0.00%,
17/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,607,0.00%,
18/05/2000,2.726593,2.726593,2.711774,2.711774,1.354937,1221,0.00%,
19/05/2000,2.756229,2.756229,2.711774,2.711774,1.354937,1059,0.00%,
22/05/2000,2.756229,2.756229,2.711774,2.711774,1.354937,1984,0.00%,
23/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,10547,1.64%,
24/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,11391,0.00%,
25/05/2000,2.756229,2.756229,2.756229,2.756229,1.377149,2652,0.00%,
26/05/2000,2.726593,2.756229,2.726593,2.756229,1.377149,3178,0.00%,
29/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,7841,-1.61%,
30/05/2000,2.711774,2.711774,2.711774,2.711774,1.354937,9272,0.00%,
31/05/2000,2.682137,2.711774,2.682137,2.711774,1.354937,371,0.00%,
1/06/2000,2.711774,2.711774,2.711774,2.711774,1.354937,2915,0.00%,
2/06/2000,2.711774,2.711774,2.711774,2.711774,1.354937,3178,0.00%,
5/06/2000,2.711774,2.711774,2.711774,2.711774,1.354937,3974,0.00%,
6/06/2000,2.711774,2.711774,2.711774,2.711774,1.354937,0,0.00%,
